3
BİR,İKİ,BEŞ|Sayılar
PARKUR,UÇKUR,İŞKUR,ÇUKUR,OKUR|KUR ile kafiyelidir
MASA,YATAK,KOLTUK,SEHPA,BAZA,BERJER,PUF,RANZA|Mobilya
BİBER,REÇETE,BADEM,KAHVE,ÇEKMEK,SOS,HABER|Acı ...
MODA,MANKEN,YÜRÜME,SUNUM,GİYİM|Defile
MOTOR,PİSTON,EGZOZ,YAKIT,VALF|İçten yanmalı
PUL,ZAR,MARS,DUBARA,HEPYEK,ŞEŞBEŞ,KAPI|Gel tavla oynayalım
SİDNEY,ATİNA,PEKİN,LONDRA,SEUL,MÜNİH,ROMA|Olimpiyat şehirleri
KELEK,BİBER,HAVUÇ,LAHANA,ACUR|Turşu
TARLA,ARSA,BİNA,İŞYERİ,KONUT|Taşınmaz
ABAJUR,APLİK,AVİZE,SPOT,SARKIT|Işığı açarmısın?
AİDAT,HARÇ,TAKSİT,VERGİ,HESAP|Ödeme zamanı
İŞTEN,İŞLEM,ASKERİ,KAVGA,ORTAYA,SATIŞ,ACISI|Çıkarma
ŞİŞE,KAFEİN,PEPSİ,DİYET,ZERO,ASİT|Kola
HARİTA,ROTA,RADAR,BİLET,RÖTAR|Seyahat
ATOM,YAĞMUR,SES,İZMİR,YANGIN,BANYO|... bombası
MOZART,BRAHMS,BACH,HANDEL,CHOPIN,HAYDN|Klasik müzik bestecileri
DOLU,YAĞMUR,KAR,KIRAĞI|Yağış
KARTAL,DELİK,LİSTE,SEVDA,KEDİ,ARACI,TAHTA,ŞİMŞEK|Kara ...
ANNE,KARDEŞ,BABA,ABLA,EVLAT,OĞUL|Aile
DURUMU,ALANI,PARASI,YOLU,CİVA,ATMAK,AKIMI|Hava ...
EDİSON,TESLA,FORD,BOSCH,JOBS,MUSK,BELL|Ünlü mühendisler
ÇORAP,TERLİK,PABUÇ,PATİK,ÇİZME,BOT,PALET|Ayağa giyilir
LALE,SÜMBÜL,ZAMBAK,NERGİS,LEYLAK,ORKİDE|Çiçekler

7
İRMİK,DÜNYA,TULUMBA,KABAK,ŞAM,HAVUÇ,AYVA|... tatlısı
FUTBOL,RAMAZAN,PİLATES,ŞANS,HAVAN,KAR|... topu
MUAYENE,YAKIT,VERGİ,SERVİS,CEZA,PARK|Araban var mı, derdin var...
SAMAN,TUVALET,DUVAR,SİGARA,KARBON,AMBALAJ|... kağıdı
SOLUNUM,HAVA,SAMAN,UZAY,OKUL,AKLIN,YÜRÜYÜŞ|... yolu
PENCERE,AĞIZ,KAPI,GÖZ,KİTAP,BAHT,BİLİNÇ|Açık ta olur kapalı da...
YILDIZ,GEZEGEN,METEOR,GALAKSİ,VENÜS,EVREN|Astronomi
ANAHTAR,PARA,AKREP,DELİK,TELEFON,CÜZDAN|Cepte bulunur
ASLANI,BANK,SEKİ,SUYU,FENERİ,AŞIRI,YILDIZI,OTOBÜSÜ,GEZMİŞ|Deniz ...
KEDİ,KÖPEK,BALIK,HAMSTER,TAVŞAN,KUŞ|Evcil hayvanlar
TALAŞ,MATKAP,TESTERE,ÇEKİÇ,CETVEL,TAHTA,MENGENE|Marangoz atölyesi
HAKİM,MAHKEME,HAPİS,KARAR,SAVCI,AVUKAT|Adalet
ALBAY,ÇAVUŞ,TEĞMEN,YARBAY,BİNBAŞI,YÜZBAŞI,ONBAŞI|Rütbeler
GELİN,GÖK,EKVATOR,SABAH,AKŞAM|... kuşağı
PİRAMİT,SİFENKS,NİL,AKDENİZ,SÜVEYŞ,KANAL,MUMYA|Mısır
ŞİİRİ,MEKTUBU,ROMANI,ACISI,ATEŞİ|Aşk ...
ÇARPMA,ÇIKARMA,TOPLAMA,BÖLME,KERE,EKSİ,SONUÇ|Matematik dersi
PİYANGO,KÖFTE,KOKOREÇ,EKMEK,ALTIN,FİNAL,SAAT|Çeyrek mi, yarım mı?
FRENİ,ARABASI,OĞLU,KİTABI,YAZISI,KOYMAK,KREMİ,İŞİ|El ...
KOLTUK,YATAK,MİSAFİR,MOBİLYA,PRATİK,AÇILIR|Çekyat
KEMAL,SANDAL,CECELİ,SARIGÜL,KOÇ,BALBAY|İyi bilinen Mustafa'lar
AYAK,YARA,DİKİŞ,PARMAK,LASTİK,SİVİLCE,TIRNAK|... izi
ARTI,EKSİ,SANTRAL,TRAFO,PRİZ,ENERJİ,FATURA|Elektrik
ELMA,DİŞ,VİŞNE,ÇARIK,RAPORU,YUMURTA,ÇIKMAK|Çürük ...
PARA,HAFIZA,ANAHTAR,SİNYAL,YOL,ZAMAN,UMUT,DENGE|Sakın kaybetme!
KOMEDİ,AKSİYON,DRAMA,GİZEM,KORKU,GERİLİM,SAVAŞ|Film türleri
MADALYA,MEDAL,NİŞAN,KUPA,KEMER,PLAKET|Başarınızdan dolayı sizi tebrik ederim
GENÇ,YATAK,TİCARET,OTEL,SANAYİ,YEMEK,SOYUNMA|... odası
GECE,ÇALIŞMA,YABAN,AİLE,YAYIN|... hayatı
ŞAPKA,MASKE,KORUMA,YORGAN,KASK,POLİS,KOLONYA|Bizi korur
YOYO,ASANSÖR,PİSTON,NOTLAR,ÇAYCI|Yukarı-aşağı
İNGİLİZ,SOL,ARABA,YEDEK,CEVAP,BAŞARI,BİJON|Anahtar
KAMERA,SİREN,ALARM,KİLİT,TURNİKE,GÖREVLİ|Güvenlik
OYUNCU,YARAMAZ,SEVİMLİ,MERAKLI,UYKUCU,KOMİK,AKILLI|Kediler nasıl olur?
ORTA,AYAK,TİYATRO,HALK,ZEKA,ŞANS,KELİME|... oyunu
PASTA,HEDİYE,MUM,MÜZİK,MİSAFİR,EĞLENCE,BALON|Doğum günü
KOKU,FRANSA,ŞİŞE,ÇİÇEK,BAHARAT,AÇIK,PAHALI|Parfüm
SOHBET,SÜKUNET,SUİKAST,SİİRT,SANAT,SADAKAT,SİLÜET,SİNÜZİT|S...T
SİNYAL,SARI,YEŞİL,KIRMIZI,TRAFİK,DÜZEN|Trafik ışıkları
FİYAT,KALEM,KALP,ŞİFRE,İNAT,REKOR,FINDIK,NOT|... kırmak
KUTLAMA,TATİL,EĞLENCE,HİNDİ,HEDİYE,SENE|Yılbaşı
HALI,OYUNCAK,KABLO,BASAMAK,BAĞCIK|Dikkat, takılıp düşeceksin!
NEZARET,SORGU,KOMİSER,POLİS,İFADE,SÜPHELİ|Karakol
TİYATRO,PAPATYA,YASEMEN,MENEKŞE,GÜL,LAVANTA|Bir demet ...
DRAKULA,KAN,ISIRIK,TABUT,GECE,HAÇ,DİŞ|Vampir
GUGUKLU,ATOM,MASA,DUVAR,CEP,GÜNEŞ,KUM|Saat çeşitleri
TOPRAK,YEŞİL,KÖK,BOTANİK,YAPRAK,TOHUM|Bitki
GELİR,GİDER,VERGİ,HESAP,FİNANS,SİGORTA,FATURA,MALİ|Muhasebeci
TEREYAĞ,PEYNİR,AYRAN,YOĞURT,KEFİR,ÇÖKELEK|Süt ürünleri
DİZ,BALDIR,BİLEK,KEMİK,KAS,ŞORT,LAPTOP,KEDİ|Bacaklarınızda olur
HALI,BÜYÜCÜ,NUMARA,DEĞNEK,İLUZYON,İKSİR|Sihir
GÜCÜ,EVLADI,SARRAFI,OLMAK,HAKLARI,ELİ|İnsan ...
ANTİKA,PARA,PUL,PİLAK,PEÇETE,KİTAP,KALEM|Koleksiyonu yapılır
ASFALT,BENZİN,KATRAN,PARAFİN,YAĞ,MAZOT,LPG|Petrol ürünleri
KORE,AFRİKA,AMERİKA,KUTBU,BATI,DOĞU|Güney ...
BARBEKÜ,KETÇAP,SOYA,HARDAL,KÖRİ,BEŞAMEL,BOLONEZ,SALSA|Sos
KARACA,LAZER,RÖNTGEN,GAMMA,GÜNEŞ|Işın
ÇİFTLİK,CAN,MODA,POLİS,BEKAR,KONUK,ÖĞRENCİ,BARBİE|...Evi
KETÇAP,KİRAZ,BİBER,DOMATES,ELMA,TURP|Kırmızı yiyecekler
KURDALE,EŞARP,HALAT,KISMET,BANDANA,KOLLAR|Bağlanır
SINIFTA,YATIYA,SONA,DONA,EVDE,FORMDA,ZİNDE,ZORUNDA,HAMİLE|... kalmak
SAÇ,TASARIM,AYNA,MAKYAJ,MANİKÜR,PEDİKÜR,KADIN|Kuaför
DERGİ,ROMAN,MAKALE,GÜNLÜK,ETİKET,RAPOR,GAZETE|Okunan şeyler
KALP,BUZ,PEYNİR,MUM,TEREYAĞ,KAR,MEYBUZ|Eriyen şeyler
AJAN,KAPAKLI,NUMARA,KAMERA,TEHLİKE,OTURUM,SİLAH,BAHÇE|Gizli ...
YAĞ,BULMACA,BAĞCIK,PROBLEM,BUZ,TEST,ŞİFRE|Çözülebilir şeyler
NOTER,ÖDEME,RUHSAT,SİGORTA,KİMLİK|Araba almak
DÜZE,ERLEK,NİKER,STİL,TONİK,VANDO,İRDAĞ,LEMEK|Tek...
GRUP,ŞARKICI,MÜZİK,SAHNE,IŞIK,SEYİRCİ,BİLET|Konser
KUŞ,YUMURTA,KÜMES,ÇİFTLİK,KORKAK,KANAT,GÖĞÜS,GAGA|Tavuk
YUVA,BAĞDAŞ,ŞİRKET,İLİŞKİ,İRTİBAT,ALTYAPI,MASA,HÜKÜMET|... kurmak
HANEDAN,TAHT,TAÇ,MONARŞİ,KRAL,KRALİÇE,VARİS|Majesteleri
RAUND,HAKEM,YUMRUK,RİNG,KÖŞE,ELDİVEN|Boks maçı
DİSK,FİKİRLİ,DEĞER,TELEFON,FİYAT,ORAN|Sabit ...
KARDİYO,GERME,ISINMA,NEFES,HAREKET,SOĞUMA|Egzersiz zamanı!
PİŞİRME,YEME,YAKMA,KESME,DÖKME,DİLME,ISITMA|Mutfakta yapılır
POSTA,KAYNAK,DAVINCI,ŞUBE,ALAN,ÜLKE,HES,PIN|... kodu
GEÇMEK,SES,RADYO,TSUNAMİ,DENİZ,ANTEN,SİNÜS|Dalga
LATMA,LICAN,OJEN,OLOJİ,RONAJ,TADAK,İNAJ,İSKA|Pat...
MENGEN,USTA,ŞAPKA,PRESTİJ,MUTFAK,YİYECEK|Aşçı
JAPONYA,TEKME,YUMRUK,SALDIRI,SAVUNMA,SPOR,DÖVÜŞ|Karate
BASINÇ,SUBAP,PATLAK,BALANS,ŞİŞİRME,KRİKO,BİJON|Lastik
KÖPÜK,JİLET,PAMUK,GARGARA,LOSYON,KREM,TARAK,FIRÇA|Banyo dolabı
TAKSİ,MISIR,KANARYA,MUZ,SÜNGER,LİMON,OMLET|Sarı
YUMURTA,KAFA,CAM,EKRAN,DUDAK,VÜCUT,ZEMİN,KEMİK|Çatlak
YILAN,BALIK,FOK,SOLUCAN,SÜLÜK,YUNUS|Bacaksız hayvanlar
İLHAM,MÜZİK,SÖZLER,NAKARAT,RİTİM,NOTA|Beste yaptım!
AÇMA,KAPAMA,KANAL,PROGRAM,NETLIX,AYAR,PİL|Uzaktan kumanda
AFACAN,KERATA,CİMCİME,HAYTA,YARAMAZ,HAYLAZ|Çocuklara söylenir
ZÜMRÜT,KURBAĞA,ENERJİ,DOĞA,ÇEKİRGE,GÖZ|Yeşil
PARTİ,GECELER,GELMEK,DERSLER,SONUÇ,İNSAN|İyi ...
BAĞIRMA,ÇAĞIRMA,ŞİDDET,KABALIK,KIZARMA,KAVGA|Öfkeli insanlar yapar
KLASİK,POP,ROCK,JAZZ,ARABESK,FANTEZİ|Müzik türleri
ZEBRA,KOKARCA,PORSUK,PENGUEN,PANDA,BALİNA|Siyah & beyaz hayvanlar
HALK,DANS,FAROZ,TRABZON,RİZE,OYUN,HOPTEK|Kolbastı
ÇİÇEĞİ,LAMAK,DOKU,LANMAK,PANGLE,PERİSİ,RATSIZ,RİYE,SURLUK,SAMAK,SUZLUK|Su...
MENÜ,HAFIZA,MODEM,FARE,KLAVYE,YAZICI|Bilgisayar terimleri
SALEP,IHLAMUR,BOZA,AYVA,KESTANE,ISPANAK,ARMUT|Kısın tüketilir
ORDU,SİLAH,KOMANDO,PİYADE,MESLEK,SUBAY,SAVAŞ,ERKEK|Asker
ŞİFRE,ARIZA,YATIRMA,ÇEKME,KUYRUK,PARA,KART,EKRAN|Bankamatik
ÇAYLAK,ÇAYIR,ÇAYCUMA,ÇAYELİ,ÇAYCI|Çay...
KAHVE,BİRA,SABUN,KUDUZ,STRAFOR,DENİZ,AYRAN|Köpüklü olur
YATAK,KEMAN,ARABA,SAAT,BLOKNOT,KALEM,KİLİT|Yayı vardır
SOSİS,EKMEK,KETÇAP,MAYONEZ,HARDAL,TURŞU,HAŞLAMA|Hot dog
RESİM,MANZARA,YEŞİL,MİMAR,DÜZEN,ÇEVRE,ESTETİK,BAHÇE,ÇİÇEK|Peyzaj
GÜN,DAKİKA,SAAT,SANİYE,SENE,YÜZYIL,HAFTA|Zaman birimi
BULUTU,DUASI,YAĞIŞI,BOMBASI,DAMLASI,SUYU|Yağmur ...
KEMAN,ÇELLO,VİYOLA,KEMENÇE,TAMBUR|Yaylı çalgılar
KORT,RAKET,SERVİS,TOP,SEYİRCİ,FİLE|Bir tenis maçı
GÖRÜŞLÜ,KESİM,GELİRLİ,BOĞAZ,ALAN,SOKAK,ETMEK|Dar ...
GİYSİ,ÇANTA,CÜZDAN,KAPATMA,AÇMA,DİŞLER,ŞERİT|Fermuar
OYUN,KUMAR,ALKOL,KAFEİN,NİKOTİN,TELEFON,ESTETİK|Bağımlılıklar
SANAYİ,MİSAFİR,BAŞLI,ROMAN,VASITA,SIKLET,SİLAH|Ağır ...
KRAVAT,PAPYON,BAHŞİŞ,LOKANTA,SERVİS,ERKEK|Garson
KAPI,ŞARKICI,METAL,SAĞLAM,ALAŞIM,DEMİR,KARBON|Çelik
YATAK,KUTU,EŞYA,DÖŞEME,YÜKSEK,DEPO,ÇERÇEVE|Baza
NANE,İSOT,KEKİK,TARÇIN,KİMYON,BİBER,SAFRAN|Baharat
KESTANE,PALTO,ISITICI,YORGAN,MEVSİM,UYKU|Kış
GELECEK,KAHVE,AVUÇ,BURÇ,TAROT,BİLMEK,ANLAM,YORUM|Falcı
DEVLET,MEVZU,SULAR,FUTBOL,DÜŞÜNCE,TARİH,NEFES|Derin ...
SİMGE,METAL,BAŞLIK,KRAL,KRALİÇE,PADİŞAH,YARIŞMA,SÜSLÜ|Taç
VANA,SİVİLCE,CANIMIZ,KEMER,POŞET,DİŞİMİZ,MEYVE|Sıkılır
LODOS,POYRAZ,MELTEM,KIBLE,YILDIZ,KARAYEL|Bugün rüzgarlı
SANATÇI,DANSÇI,KUĞU,FİGÜR,SAHNE,GÖSTERİ,KADIN|Balerin
SİYASET,SANAT,SPOR,SAĞLIK,SUÇ,HAVA,MAGAZİN|Haber programı
ABAKA,AMAHA,LÜMAN,TAHAK,TESNA,VEDDE,TEŞAR,AMERE|Müs...
TARKAN,ÇELİK,İZEL,GÜLŞEN,TEOMAN,TAYFUN,AYNA|90'lar
EKMEK,DİKMEK,İŞLEMEK,BİÇMEK,SULAMAK,SÜRMEK,SAĞMAK|Çiftçiler yapar
AÇIK,FERAH,BATAK,DAMAT,BEYAZ,AYVA,AZGIN,DAĞCI,YAVAŞ|...lık
LİSTE,TANITIM,TİCARİ,ÜRÜN,DOKÜMAN,RESİM,YAZI|Katalog
TOSBAĞA,İSTAKOZ,YENGEÇ,YUMURTA,MİDYE,FINDIK|Kabuğu vardır
DAL,YAPRAK,KOZALAK,MEYVE,ZEYTİN,CEVİZ,ÇOCUK|Ağaçtan düşer
VERSACE,DIOR,ARMANI,CHANEL,GUCCI,CARTIER|Moda markaları
KIRMIZI,SİYAH,NOKTA,ANTEN,KANAT,OVAL,ÇİZGİ,FİLM|Uğur böceği
ÇİMENTO,SIVA,PLAN,TUĞLA,TAHTA,USTA,TAŞ,DEMİR,KUM,BETON,|Ev yapma
ÖĞRENCİ,DERECE,HARÇ,KAMPUS,DİPLOMA,YURT,SINAV|Üniversite
BENZ,LÜKS,KALİTE,ALMAN,ARABA,FORMULA|Mercedes
TARİHLİ,GÖRÜŞLÜ,DÜZEY,KARAKOL,MARŞ,YAŞ,ÜÇLÜ|İleri ...
ŞAMPUAN,JÖLE,BOYA,FIRÇA,TARAK,KÖPÜK,TOKA,SPREY|Saç için kullanılır
KAHVE,GÜL,VANİLYA,KOLONYA,SABUN,NANE,MISIR|Güzel kokar
ATATÜRK,MÜZE,ANKARA,SİMGE,TARİH,İNÖNÜ|Anıtkabir
DOKUNMA,GÖRME,KOKLAMA,DUYMA,TATMA|Duyularımız
KABİN,KALMAK,MAKARA,HALAT,YÜKSEK,BİNA|Asansör
PLAN,PARA,EKONOMİ,SINIR,AÇIK,HARCAMA,FONLAMA|Bütçe
ATİLLA,EROL,TEK,DEĞERLİ,BÖBREK,DİLEK,FIRIN,GİBİ|Taş
DOĞUM,ANNELER,ALTIN,SALI,AHİRET,BABALAR|... günü
PALTO,ISITICI,ÇORAP,PATİK,YORGAN,ŞAL|Sıcak tutar
FERRARİ,ÇİTA,IŞIK,UÇAK,ROKET,MERMİ,TRAFİK|Çok hızlıdırlar
ONUR,MADALYA,CESARET,SAYGI,TÖREN,ORDU|Savaş gazisi
ATEŞ,ÖKSÜRÜK,GRİP,FITIK,KIRIK,MİGREN,SİROZ,VEBA|Geçmiş olsun
PAMUK,MASKE,ŞIRINGA,ELDİVEN,GALOŞ,FLASTER,BATİKON,BONE|Tıbbi sarf malzeme
GÜNEŞ,RÜZGAR,KÖMÜR,PETROL,REDBULL,URANYUM|Enerji verir
CERRAH,BİSTURİ,DİKİŞ,NARKOZ,NABIZ,PENS|Ameliyathane
ALICI,VERİCİ,DALGA,UYDU,RADYO,ÇANAK,FREKANS|Anten
SORU,EĞLENCE,ÇOCUK,ZOR,KOLAY,OYUN|Bilmece
MÜZİK,BALET,BALERİN,DANS,KUĞU,TÜTÜ|Bale
ÇOBAN,PATATES,SEZAR,RUS,MEYVE,İTALYAN|Salata çeşitleri
DUBAİ,BAĞDAT,TAHRAN,TELAVİV,KUVEYT,BEYRUT|Ortadoğu şehirleri
SINIF,BASKI,MURAT,GELMEK,KALİTE,LİG,BAŞKAN,BASAMAK|Birinci ...
JUDO,BOKS,AİKİDO,KARATE|Uzak doğu sporları
SUNAL,ŞEN,KIRCA,ALIŞIK,ALASYA,AKPINAR|Komedi oyuncularımız
EKMEK,MISIR,KEK,MAKARNA,PİRİNÇ,SOSİS|Pişince büyür
TOKYO,SEUL,BAKÜ,PEKİN,BANGKOK,TAHRAN,BAĞDAT|Asya şehirleri
KÖFTE,TAVUK,ŞİŞ,ADANA,SUCUK,DOMATES,BİBER|Mangal
İNÖNÜ,DEMİREL,GÜRSEL,ÇİLLER,ECEVİT,ÖZAL,ERBAKAN|Başbakanlarımız
LOGO,İSİM,ÜNVAN,SİTE,EMAIL,SLOGAN,TELEFON|Kartvizitte yazılıdır
OYUNU,YOLU,HAVLUSU,BİLEĞİ,BAKIMI,KABI|Ayak ...
MODA,SUÇLU,İNDİRİM,FENOMEN,ÜNLÜLER|Takip edilen şeyler
RUS,UZAY,GAGARİN,KAPSÜL,MESLEK,SOVYET|Kozmonot
TATİL,EĞLENCE,PAHALI,TURİZM,OTEL,EGE,KOY,KAT|Bodrum
KAMP,DOĞA,GENÇ,BİRLİK,YARDIM,SELAM,GELİŞİM,DÜZEN,PROGRAM|İzcilik
ARABA,GÖZ,EŞYA,PATLAMA,SUALTI,SAVAŞ,TORPİL|Torpido
DÖKME,DÜŞÜRME,KIRMA,KAZA,ÇARPMA,BATMA|Yanlışlıkla olur
AMAZON,NİL,VOLGA,TUNA,REN|Ünlü nehirler
FIRTINA,KALE,TORBA,ÇÖL,PLAJ,SAAT,OCAK,KEDİ|Kum
TAHT,TAÇ,KRAL,KRALİÇE,KALE,SARAY,MONARŞİ,ASİL|Kraliyet
YILAN,AKREP,ÖRÜMCEK,ASLAN,KURT,İNSAN|Ölümcül canlılar
AĞRISI,DÖNMESİ,HEKİM,HARF,BELASI,PARMAK,AKTÖR|Baş ...
PİYASA,SERMAYE,YATIRIM,MALİYE,HAZİNE,PORTFÖY,BORSA,ENDEKS|Ekonomi terimleri
MÜNİH,HAMBURG,BERLİN,BONN,BREMEN,KÖLN,ESSEN|Alman şehirleri
ŞEKER,HARÇLIK,TATİL,ZİYARET,BARIŞMA,NAMAZ|Bayram
KASIRGA,TAYFUN,SİKLON,TİPİ,HORTUM|Fırtına
PRİZ,POSTER,AYNA,TABLO,TAKVİM,SAAT,RAF,APLİK|Duvarda olur
ECEVİT,ÇIKARMA,KKTC,DENKTAŞ,PLAJ,MARAŞ,ENOSİS|Kıbrıs Harekatı
LOTUS,MCLAREN,MINI,JAGUAR,BENTLEY|İngiliz arabaları
AKROBAT,YAY,ZIPLAMA,BOİNG,EĞLENCE,SPOR|Trambolin
ANTEN,BACA,KİREMİT,KUŞ,KAR,OLUK|Çatıda olur
KONUŞMA,KONSER,DÜĞÜN,TİYATRO,YARIŞMA|Alkış ortamları
AÇELYA,DEFNE,FULYA,GÜL,LALE,MENEKŞE,YASEMİN,NERGİS|Çiçek kızlar
DOĞU,PARMAK,DİREK,ÇAĞ,ANADOLU,ASYA,OYUNU,KULAK,BOY,YAŞ|Orta ...
UZAY,TREN,BENZİN,MUAYENE,BAZ,METRO|... istasyonu
SİYASET,ANKARA,VEKİL,OYLAMA,KOLTUK,GAZİ,BAŞKAN|TBMM
BİLET,SPOR,TAKIM,KOLTUK,FUTBOL,MARATON,SAHA|Stadyum
MADRİD,LONDRA,VENEDİK,MÜNİH,ATİNA,PARİS,LİZBON,SOFYA,PRAG|Avrupa şehirleri
LENS,PENCERE,MİSKET,VAZO,ŞİŞE,SÜRAHİ,BARDAK|Camdan yapılma
SOLUNUM,NEFES,KAN,BRONŞ,KAFES,ÇİFT,ORGAN,OKSİJEN|Akciğer
KANUN,SUÇLU,ŞÜPHELİ,HAPİS,MAHKEME,YARGI,BERAAT,KELEPÇE|Tutuklusun!
YEM,MİSİNA,MAKARA,ÇENGEL,KOVA,OLTA,MANTAR|Balık tutmaya gidiyorum
SİLAH,ATEŞE,SOKAĞA,KAFADAN,MAKAS,KAHKAHA,AŞIK,HAVA,İMZA|... atmak
MÜZİK,GELENEK,DİN,MODA,DANS,MUTFAK,DİL|Kültür
FINDIK,HAMSİ,UZUNGÖL,TULUM,ÇAY,KEMENÇE,TAKA,LEBLEBİ|Karadeniz'e özgüdür
ARKADAŞ,DURUM,BEĞENİ,ETİKET,YORUM,PROFİL,HİKAYE|Facebook
KOVA,SÜRAHİ,VAZO,HAVUZ,BARAJ,GÖL,ŞİŞE,KÜVET|İçinde su tutar
PAPAĞAN,HAZİNE,GEMİ,TABANCA,ÇENGEL,KAPTAN,BANDANA|Korsan
YARIN,ŞİMDİ,ASLA,SONRA,YAKINDA,BUGÜN,HAFTAYA,AKŞAM|Ne zaman?
ÇİÇEK,BALMUMU,KRALİÇE,BAL,SOKMA,KOVAN,POLEN,AYI|Arıcılık
KONUŞMA,ÖĞRENCİ,TÖREN,CÜBBE,DİPLOMA,KEP,GURUR,SAHNE|Mezuniyet töreni
DÜET,İKİNCİ,ÇİFT,DUBLEKS,DUBLE,İKİZ,ÇİFTE|İki
HAYAT,OKUL,DERS,İNDİRİM,HASTANE,GÜNLER,FİYAT,İZİN|Özel ...
BANDANA,TAÇ,BERE,KASKET,ŞAPKA,KEP,TOKA,EŞARP,KÜLAH|Başa takılır
PALYAÇO,FİL,KAPLAN,TRAPEZ,AKROBAT,CAMBAZ,EĞLENCE|Sirk
ÇARPIM,PUAN,EXCEL,HESAP,GURUR,DAVİNCİ,KORONA|... tablosu
SABIR,SEVGİ,KORUMA,GÜVEN,SAYGI,KUTSAL|Anne
RUH,HAYALET,BÜYÜ,SİHİR,NAZAR,CADI,İBLİS,VAMPİR|Doğaüstü
OKULU,ARTER,YÜREĞİ,VATAN,DİL,SAYFA,KARA,HABER|Ana ...
İSVEÇ,NORVEÇ,POLONYA,BELÇİKA,ALMANYA,FRANSA,İSPANYA,İTALYA|Avrupa ülkeleri
ALTIN,PLATİN,KARBON,GÜMÜŞ,RODYUM|Pahalı elementler
OKYANUS,KOPMA,DONMUŞ,TİTANİK,TEHLİKE|Buz dağı
TELEFON,TAROT,KREDİ,KİMLİK,YAKA,BASIN,GİRİŞ,EKRAN|... kartı
AĞIZ,KAPI,CAM,ÇEKMECE,KİTAP,GÖZLER|Her gün açılır
PATATES,HAVUÇ,BEZELYE,TURŞU,MAYONEZ,TUZ,YOĞURT|Rus salatası yapalım
FRANSA,PARİS,UZUN,METAL,ANIT,ASANSÖR,TURİST|Eyfel Kulesi
AKBABA,SUNGUR,ATMACA,BAYKUŞ,KARTAL,ŞAHİN,DOĞAN,MARTI|Avcı kuşlar
KUTU,CEZAEVİ,ÇARŞI,MARAŞ,HAVUZ,ALAN,DEVRE|Kapalı ...
YASTIK,ÇARŞAF,PİJAMA,HORLAMA,RÜYA,BİLİNÇ|Uyku saati
BIÇAK,KASE,ÇATAL,BARDAK,PEÇETE,KAŞIK,TABAK,SÜRAHİ|Kızım sofrayı kur!
KART,NUMARA,YILBAŞI,ÇİNKO,BİRİNCİ,İKİNCİ,ÖDÜL|Tombala
YUVA,TÜY,SÜRÜ,YUMURTA,KANAT,KAFES,UÇMA,GÖÇ|Kuş
DAMLA,TABLET,FİTİL,MERHEM,LOSYON,YAMA,İĞNE|İlaç türleri
YUFKA,İNCE,SAC,HAMUR,PEYNİR,PATATES,KIYMA,OKLAVA|Gözleme
BROKOLİ,BİBER,BEZELYE,BAMYA,BAKLA|S... (sebzeler)
GÖL,AKARSU,OKYANUS,KÖRFEZ,DENİZ,NEHİR|Su kütlesi
TREN,YERALTI,ULAŞIM,TURNİKE,BİLET,YOLCU,TÜNEL|Metro
BİBERON,EMZİK,OYUNCAK,DİŞLİK,LOSYON,BEZ,MAMA|Bebek ihtiyaçları
BAMBAM,DİNO,ÇAKIL,FRED,WILMA,BETTY,BARNEY|	taşlar
AYI,YARASA,YILAN,KURBAĞA,KİRPİ|Kış uykusuna yatarlar
PAKİ,AFGANİ,KAZAKİ,ÖZBEKİ,TACİKİ,KIRGIZİ,HİNDİ|...stan (ülkeler)
UZAY,ARAÇ,ROKET,BİLİM,GEZEGEN|NASA
DENİZ,GÖKYÜZÜ,KOT,GÖZ,ATEŞ,SAFİR,SULAR,ÇİNİ|Mavi
UÇAK,OTOBÜS,TREN,ARABA,GEMİ,TAKSİ|Hangi vasıtayla gidelim
FRANSA,BELÇİKA,KANADA,MONAKO,MALİ,HAİTİ,KONGO|Frasızca konuşan ülkeler
JEOLOJİ,KOVUK,BARINAK,HAYVAN,İNSAN,DOĞAL,OLUŞUM|Mağara
SALAM,SOSİS,KAŞAR,TURŞU,DOMATES,SUCUK,EKMEK|Ayvalık tostu
TOSBAĞA,SIRA,MANSUR,ADALET,BİLİM,KAYIK|Yavaş şeyler
HALI,KİLİM,EBRU,ÇİNİ,OYA,AHŞAP,HAT,DANTEL|El sanatları
ÇİÇEK,KALP,KELEBEK,ÇAPA,İSİM,BALIK|Popüler dövmeler
HAYAT,YOL,OFSAYT,UFUK,BİTİŞ,SINIR,OTOPARK|... çizgisi
AMATÖR,ÇAYLAK,ÇÖMEZ,ÇIRAK,STAJYER,YAMAK,TOY|Bu işte yeniyim
KARAT,KÜLÇE,AYAR,MADEN,MADALYA,TAKI,KUYUMCU|Altın
KISIR,KÖFTE,KÜNEFE,KEREVİZ,KABAK,KUMPİR,KADAYIF|Ço(k) lezzetli olmuş
YAHUT,MEĞER,LAKİN,ÜSTELİK,ZİRA,YANİ,YALNIZ,SANKİ,ÖYLE,ÇÜNKÜ,EĞER|Bağlaç
PARTİ,GÖRÜŞ,TARAF,BEYİN,TIKLAMA,BEK,SALİM,KOL,OLASIN|Sağ ...
TESTERE,BIÇAK,LAZER,BALTA,JİLET,BİSTURİ|Kesici aletler
