3
CAT,DOG|Pets
DUBAI,KABUL,BAGHDAD,TEHRAN,KUWAIT,BEIRUT|Middle east cities
SEARCH,PISTON,DIESEL,STEAM,TURBINE|Engine
PETITE,LITTLE,TEENY,MEAGER,TINY|Small
HAMMOCK,RIVER,DEATH,QUEEN,KING,FLOWER,BUNK|Types of bed
CELL,INMATE,YARD,ESCAPE,GUARD|Prison
GAS,RAILWAY,POLICE,WAGON,RADIO,SPACE|Station
JUDO,BOXING,AIKIDO,KARATE|Martial arts
NOSE,CHIN,CHEEKS,EYES,MOUTH,LIPS|Face
CARE,BACK,COVER,APART,DOWN,HEART,OVER|Take ...
RELAX,BURN,LOTION,TAN,BEACH,POOL|Sun bathing
GLIDE,DIVE,FLUTTER,SWOOP,HOVER,SOAR,FLAP|Fly like a bird
TOUCH,SUN,WIND,SPLIT,SILVER,WINDOW|... screen
MORE,TIME,ONE,HOW,WHERE,WAY,BODY,THING|Any...
LOGO,NAME,TITLE,WEBSITE,EMAIL,SLOGAN|On a business card
TRANCE,DISCO,HOUSE,TECHNO,TRIBAL|Electronic music
SACK,BALL,JACKPOT,ROAD,DECK,LIMIT|Hit the ...
JUNIOR,CHILD,MINOR,YOUNG|Under age
LIFE,MONEY,SEAT,DATE,FILE|Can be saved
DAIRY,EGGS,MEAT,HONEY,FISH|Non-vegan food
MAGNIFY,FOCUS,LENS,ZOOM,LAB|Microscope
CLAN,CROWD,CLUB,SOCIETY,TEAM,TRIBE|A group of humans
REWIND,STOP,PAUSE,VOLUME,SKIP,PLAY|You're in control
FROWN,POUT,GRIN,SMIRK,GRIMACE|Pull a face
WHAT,HEAVEN,LIFE,PEACE,WHERE|... on earth
TROWEL,RAKE,SHOVEL,SPADE,SHEARS,MATTOCK|Garden tools
TRUNK,BARK,LEAF,ROOT,BRANCH|Parts of a tree
JUMP,SPIN,AXEL,ICE,COUPLE,COSTUME,COACH|Figure skating
STEPHEN,LION,BURGER,ARTHUR|King
MUSTARD,CAKE,CORD,CHEESE,CARDS,POWER|Cut the ...
TURTLE,LOBSTER,CRAB,EGG,SHOTGUN,SEA,SNAIL|Things with shells
GUT,ABDOMEN,TUMMY,BELLY|Stomach
JUNK,DOG,SEA,WHOLE,FAST,FINGER|... food
PRINT,BALL,LOOSE,REST,LONG|Foot ...
BEAR,WHITE,BLACK,CHINA,BAMBOO|Panda
SCALENE,MUSICAL,BERMUDA,LOVE,RIGHT|... triangle
STAPLER,PEN,RULER,TAPE,PAPER|STATIONERY
GORILLA,GIBBON,BABOON,MACAQUE,HUMAN|Primates
CENTAUR,SPHINX,MERMAID,CYBORG,ROBOCOP,ANDROID|Half human
HEART,ICE,CHEESE,CANDLE|Things that melt
SEEDER,SPADE,WATER,PICK,GATHER|Gardening
HOARSE,DEAR,DOUGH,MOUSSE,TOWED,BARE|Sounds like an animal
SEAT,DRIVER,ROUTE,TICKET,BUSSTOP|Bus ride
TRAP,MICKEY,CLICK,CURSOR,RODENT|Mouse
HIVE,KENNEL,NEST,BURROW,LAIR,DEN|Animal abode
TIP,MELT,OCEAN,FROZEN,TITANIC,FLOAT|Iceberg
PRIDE,CAT,MANE,ROAR,KING|Lion
REAGAN,OBAMA,BUSH,LINCOLN,CLINTON,NIXON|US presidents
KOALA,BUNNY,PUPPY,KITTEN|Cute & cuddly
LOUD,SMART,FOOTIN,RIVER,WORDOF,POTTY|... mouth
YARN,SPIN,DYE,SHEAR,KNIT,SHEEP|A wooly process
RESORT,INN,HOTEL,HOSTEL,MOTEL|Accommodation
CURRENT,BANK,MOUTH,FLOW,WATER|River
MOLLY,ROCKY,MAX,BUSTER,JAKE,BELLA,BUDDY|Popular dog names
MAP,ANIMALS,HUT,TRAIL,TARP,VEST,LAKE|Camping
CHART,MAP,TABLE,GRAPH|Diagram
CLOCK,LONDON,TOWER,BELL,CHIME,ENGLAND|Bigben
VENICE,ROWING,BOAT,OAR,CANAL|Gondola
STORM,CASTLE,BAG,DUNE,PAPER,BOX,DESERT|Sand
STAMP,SPOON,LIPS,FINGERS,OREO|Things you lick
COLOGNE,BERLIN,HAMBURG,MUNICH|German cities
POLAR,TEDDY,PANDA,GRIZZLY,POOH,YOGI,FOZZIE|Bear
POLAR,TUNDRA,OCEANIC,HUMID,ARID|Climate types
SOLAR,WIND,BIOFUEL,HYDRO|Renewable energy
ADULT,ABSENT,ABOUT,ABORT,ACCENT,ARTIST,AUGUST,AIRPORT,ANCIENT|A...t
FAULT,TSUNAMI,RICHTER,SEISMIC,PLATE|Earthquake
THRONE,QUEEN,REGAL,NOBLE,KINGDOM,CROWN,CASTLE,PALACE|Royalty
DEPTH,WIDTH,AREA,LENGTH,VOLUME|Measure the ...
COW,GIRAFFE,LADYBUG,LEOPARD|Spotted
STROKE,GLASSES,RISE,SHINE,VISOR,BURN,BEAM|Sun
CARROT,POTATO,BEET,TURNIP,YAM|Back to your roots
DECADE,DECIMAL,FINGERS,TOES,TEN|10
WATER,SHOVEL,SOIL,COMPOST,MULCH,STAKE|Plant a tree
FORD,TESLA,MUSK,BELL,JOBS,BOSCH,EDISON|Famous engineers
PHILIP,PASCAL,PAUL,PETER,PATRICK,PRESTON,PHOENIX,PARKER,PRINCE|Boys names: P...
STONES,ORGAN,TOXINS,RENAL|Kidneys
CLEVER,BRIGHT,SHARP,QUICK,SMART,ASTUTE|So intelligent!
MARSH,SWAMP,FLOOD,BOG,MIRE|Wetlands
ENGLISH,ARABIC,FRENCH,SWAHILI|Spoken in Africa
FEED,RABBIT,SHEEP,PONY,GOAT,KIDS|Petting zoo
SKIN,FOG,ACCENT,CUSTARD,GRAVY,BLOOD,HAIR,SKULL|Thick
DELL,APPLE,LENOVO,ASUS,ACER,HUAWEI|Computer brands
FRAME,LOCK,HANDLE,KNOB,HINGE,CASING,NUMBER|Door
SNOWMAN,ICECUBE,IGLOO,FROSTY|Don't like heat
KIOSK,LAPTOP,DESKTOP,TABLET,SERVER|Computer varieties
HILLS,PIN,AVERAGE,THUNDER,STONES|Rolling ...
DANCE,CORSAGE,TUXEDO,PHOTOS,DATE,DRESS,PARTY|Prom night
TYPHOON,DROUGHT,TSUNAMI,CYCLONE|Natural disasters
TROTTER,PAW,WEBBED,PAD,CLAW,HOOF,TALON|Animal feet
BONGO,MARIMBA,SNARE,CYMBAL,GONG,CHIME,PIANO|Percussion
ADDRESS,REPLY,SEND,SUBJECT,INBOX,SPAM|Email
FILM,DRAMA,DANCE,MUSICAL,MUMBAI,HINDI|Bollywood
CLIMAX,THEME,MOOD,PLOT,SETTING,TWIST|Story
SNATCH,SQUAT,CLEAN,WEIGHTS,BARBELL,JERK|Heavy lifting
STEAK,POPCORN,RIBS,ORANGE|Stuck in your teeth
WATCH,SIGN,PIT,LIGHT,DOOR,OVER,SHORT|Stop
LOOFAH,PLUG,SOAK,RELAX,SCRUB,BUBBLE,FOAM|Bathtime
TRAVEL,VOYAGE,TOUR,EXPLORE|It's a journey
CAT,JELLY,SILVER,SHELL,SWORD,SAND|... fish
HISTORY,MTV,NBC,CNN,BBC,MSNBC,FOX,DISNEY|TV channels
LORD,MASS,MARK,ROVER,SCAPE,SLIDE,MINE|Land ...
LAUGH,WHISPER,MUMBLE,TALK,CLAP,YELL,SHOUT,CHEER|Make some noise
TYPO,MISTAKE,WRECK,ERROR,SPILL,FALL|By accident
FOAM,PINT,TAP,TILT,SPOUT,FLOW,GLASS,ANGLE|Pour a beer
ROBE,TAN,FACIAL,MUDBATH,MASSAGE,JACUZZI,SAUNA,STEAM|Day spa
ENGINE,PISTON,EXHAUST,FUEL,VALVE|Internal combustion
FATHER,SUNDIAL,ZONE,HURRY,FLIES,WATCH|Time
DELETE,BOLD,ITALICS,FONT,CAPS|Text edit
TIP,POUR,SPOUT,HANDLE,SHOUT,SHORT,OVER,STOUT|I’m a Little Teapot
WRAITH,SPOOK,SPIRIT,PHANTOM,SPECTER|Ghost
LEATHER,SKIN,STONE,FIBER,WOOD,PAPER,RUBBER|Materials
SNAKE,FISH,SEAL,WORM,DOLPHIN|Living legless
ZEALOUS,GUNGHO,KEEN,PSYCHED,PUMPED,EAGER|Motivated
SCREAM,LOOP,GFORCE,SCARY,SPEED,THRILL,RIDE|Roller coaster
CHORIZO,HOTDOG,SALAMI,BANGER|Sausage
ASPIRE,STRIVE,WISH,BELIEVE,DESIRE|I have a dream
MODEL,BRICK,BUILD,PLASTIC,TOY,BRAND,DENMARK|Lego
WOOL,NYLON,ACRYLIC,RED,PERSIAN|... carpet
IRAQ,INDIA,ITALY,ICELAND,IRELAND,ISRAEL,IRAN|I countries
DEATHS,TRAP,SLIDING,LOCKED,CELLAR,HEAVENS,ENTRY,BACK|... door
AMIGO,COMRADE,BUDDY,PAL,CHUM,MATE|Friend
GLASS,JOKE,EGG,BACK,SMILE|Crack ...
POWER,LEVER,SWAP,LIGHT,REPLACE,CHANGE|Switch
FILTER,GARAGE,OIL,POLISH,REPAIR,WAX,SERVICE,COOLANT,BATTERY|Vehicle maintenance
ENGLISH,QUANTUM,THEORY,AUTHOR|Stephen Hawking
PICTURE,PIECE,PATTERN,JOIN,CONNECT|Jigsaw puzzle
QUARTET,CHEESE,THEORY,ALONG,BEAN,BIKINI|String ...
CREDITS,CUT,CINEMA,COSTUME,CREW,CAST,CAMERA|Filmmaking terms: C...
CURD,SPROUT,STALK,COUNTER,BAG,DIP|Bean ...
CHEERS,THX,GRACIAS,DANKE,MERCI|Thank you
QUIZ,POLL,INQUIRY,QUERY|Just asking
BALANCE,HEALTH,DIET,WATER,YOGA,LOVE|Wellness
KERMIT,GONZO,ANIMAL,BEAKER,FOZZIE|Muppets
INDIE,VEGAN,FASHION,ORGANIC,BEARD,TRENDY|So hipster
TEE,BALL,GLOVES,WEDGE,WOOD,CART,IRON,PUTTER|Golf equipment
SPANISH,RED,GUITAR,DANCE,DRESS,MUSIC|Flamenco
SWING,SEESAW,SLIDE,SANDBOX|At a playground
DOG,WIND,BIRDS,INSECTS,SHEARS|Garden sounds
BLOOD,ROSE,KETCHUP,MARS,FIRE,SUNSET|Red things
EZEKIEL,DANIEL,GENESIS,PSALMS|Old Testament
TOWEL,SHAMPOO,SOAP,WATER,LOTION|Have a shower
DEAD,BUMP,START,CHARGE,MEASURE,DYNAMO,ACID|Car battery
ZEBRA,SKUNK,BADGER,PENGUIN,PANDA|Black and white animals
CARDIO,STRETCH,WARMUP,GYM,STAMINA,HYDRATE|Workout time
EMU,OSTRICH,KIWI,PENGUIN|Flightless birds
KILT,BAGPIPE,GLASGOW,WHISKY,HAGGIS|In Scotland
STEVEN,SIMON,SMITH,SCOTT,STANLEY,SAMUEL|Boy names: S...
LOVERS,BOWLING,FAST,MEMORY,PENNY,LOIS|... lane

8
BATHROOM,BEDROOM,KITCHEN,GARAGE,HALL|Rooms in a house
DIAMOND,RUBY,SAPPHIRE,EMERALD,CORAL,TOPAZ|Precious stones
PEANUT,ALMOND,CASHEW,WALNUT,COCONUT,HAZELNUT,CHESTNUT|Nuts
KEYS,HOLE,COINS,NOTHING,PHONE,HANDS,WALLET,LINT|In your pocket
SPECIAL,SECRET,FBI,CHEMICAL,FREE,TRAVEL|... agent
GENERAL,CORPORAL,COLONEL,CAPTAIN,PRIVATE,ADMIRAL,SERGEANT|Military ranks
TUNA,CAESAR,POTATO,MACARONI,COLESLAW,GARDEN|Salads
MADE,WORK,BREW,PAGE,SICK,LOAN,GROWN,RUN,TOWN|Home ...
SECRET,BOND,GADGET,MISSION,COVERT|Spy
DAWN,DUSK,NOON,MORNING,EVENING,MIDNIGHT|Every day
OLIVES,ONION,TOMATO,MUSHROOM,SAUSAGE,CHEESE,PEPPER,SAUCE|On a pizza
CRESCENT,HARVEST,BLUE,FULL,NASA|Moon
PASSPORT,JOB,LOAN,PATENT,LEASE,VISA,GRANT,PERMIT|Requires an application
WATER,COCONUT,HOPE,SHELTER,FIRE,HUNT,KNIFE,RESCUE,RAFT|Survive on an island
TOKYO,SEOUL,BAKU,BANGKOK,BEIJING,HONGKONG|Cities in Asia
LOTUS,MCLAREN,VAUXHALL,MINI,JAGUAR,BENTLEY|British car brands
SWAN,HOLE,COFFEE,FRIDAY,MARKET,MAGIC,PLAGUE,BEAUTY|Black ...
FLIGHT,RELAX,HOTEL,LUGGAGE,PASSPORT,HOLIDAY,SOUVENIR,EXPLORE|Take a vacation
CHIMNEY,ANTENNA,SHINGLES,FRISBEE,SNOW,LEAVES|On the roof
BUSSTOP,SIDEWALK,STREET,POLICE,TAXI,SEWER|In the city
SUBWAY,BASEMENT,DUNGEON,CELLAR,CATACOMB,CRYPT,DUGOUT|Downstairs
SHARK,SNAKE,SPIDER,LION,SCORPION,WOLF,HUMAN|Deadly creatures
LAUNCH,COMMENCE,BIRTH,START,KICKOFF,INITIATE|Done at the beginning
LADY,AID,CLASS,WORLDWAR,GRADE,EDITION|First ...
ROOKIE,AMATEUR,NOVICE,INTERN,FRESHMAN,BEGINNER,TRAINEE|New at this
TELLER,BALANCE,LOAN,VAULT,DEPOSIT,MORTGAGE|At a bank
DEPOSIT,PROPERTY,LEASE,HOUSE,BROKER,BUYER,SELLER|Real estate
REDUCE,SHRINK,SHORTEN,LESSEN,CONDENSE,DECREASE|Make it smaller
BENJAMIN,OLIVER,NICHOLAS,JONATHAN,JEREMY,ABRAHAM,GREGORY|Three syllable men
AMENDED,FOLLOWED,BROKEN,MADE,BENT,ENFORCED|Rules can be ...
WIPE,BROOM,VACUUM,SCRUB,SPONGE,MOP,BUCKET,SWEEP,DUST|Clean the house
NIECE,FLEECE,GEESE,POLICE,CEASE,MAURICE,OBESE|Rhymes with peace
NINTENDO,PLATFORM,PIPE,LUIGI,GAME,PRINCESS,MUSHROOM,COIN|Super Mario Bros
STUDENT,DEGREE,TUITION,CAMPUS,FRESHMAN|College
TATTOO,FOOTBALL,BALLOON,TOFFEE,MATTRESS,BUFFOON|Double double letters
FLOWER,WAX,QUEEN,HONEY,STING,HIVE,POLLEN,DRONE|Beekeeping
PEPPER,PARMESAN,EGG,LETTUCE,SALT,CHICKEN,DRESSING,CROUTON|Let's make a caesar salad
LOCKDOWN,MASK,VACCINE,VIRUS,DISEASE,OUTBREAK,PANDEMIC|Covid 19
RECITAL,PEDAL,BENCH,KEYS,TEACHER,MUSIC,SCALES|Play the piano
RAZOR,ASPIRIN,TWEEZERS,OINTMENT,BANDAGE,EYEDROPS|In the bathroom cabinet
ELECTION,MATCH,BET,RACE,LOTTERY,CONTEST,DEBATE,ARGUMENT|You won!
SCARLET,MAGENTA,RUBY,CRIMSON,CARMINE|Shades of red
TORTILLA,PIZZA,COOKIE,PANCAKE,CREPE|Round, flat & edible
BOTTLE,CAFFEINE,COCACOLA,DIET,ZERO,BUBBLES|Coke
DIALECT,ACCENT,SYNTAX,SPEECH,PHONEME,LANGUAGE|Linguistics
METAPHOR,PUN,IRONY,PARADOX,SIMILE,OXYMORON|Figures of speech
MISSION,FACE,VIEW,COURSE,NATIONAL,ACTION,WEAVE|Inter ...
PORTRAIT,MUSEUM,ART,OIL,ENIGMA,LEONARDO|Mona Lisa
MODERATE,AVERAGE,EXTREME,HIGH,LOW,MILD,MINIMUM,MAXIMUM,SEVERE,SLIGHT|A measurable amount
FORTRESS,TOWER,DUNGEON,MOAT,CHAMBER|Castle
CITATION,FOOTNOTE,ARGUMENT,RESEARCH,SOURCES|Essay
CLASH,FIGHT,BATTLE,RIVAL,CONTEND,VIE,STRUGGLE,TUSSLE|Compete
SONAR,NAVY,DEPTH,SILENT,PRESSURE,TORPEDO,DIVE|Submarine
DISCO,BREAK,TANGO,WALTZ,BELLY,SWING,BOOGIE|Dance
PRIDE,MEDAL,COURAGE,RESPECT,CEREMONY,MILITARY,UNIFORM|War veteran
TRAFFIC,SEATBELT,SAFETY,VEHICLE,LICENSE,PASS,FAIL|Driving test
EXERCISE,HEALTH,DIET,CALORIE,TARGET,FITNESS|Losing weight
SCHOOL,BUS,STUDENT,ZOO,MUSEUM,TEACHER|Field trip
PHONES,WAY,MASTER,OFFICE,ACHE,BANGER,STONE|Head ...
FRIEND,STATUS,LIKE,TAG,COMMENT,PROFILE,POST,POKE|Facebook
LETTER,PACKAGE,DELIVERY,STAMP,POSTAGE,AIRMAIL,EXPRESS,ADDRESS|At the post office
VOICE,FUNDS,CHILDREN,HAND,ANCHOR,ROOF,GLASS|Things you raise
WATCH,VIEW,WITNESS,BEHOLD,OBSERVE,INSPECT|See
CULPRIT,FELON,INMATE,CAPTIVE,CRIMINAL,PRISONER|You're under arrest!
MOHAIR,VELVET,SILK,DENIM,CHIFFON,COTTON,HEMP,NYLON|Types of fabric
AGREE,GRACE,CARD,OBEY,MOUNT,APPEAR,ASSEMBLE,ABILITY,BELIEF|Dis...
CULTURE,MEASURE,BALANCE,TOP,WEIGHT,OFFER|Counter ...
MARCH,PROTEST,CAMPAIGN,PICKET,BOYCOTT,STRIKE|Activists do it
BARBER,FUNHOUSE,DISCO,GYM,RESTROOM|Many mirrors
WARMTH,MEMORIES,LOVE,TOGETHER,SHARE|Family
BATTERY,PISTON,CLUTCH,BRAKE,VALVE,GEARBOX,FANBELT,RADIATOR|Car parts
MAY,MONKEY,MYSTERY,MERCURY,MELODY,MINISTRY|M...y
ANGLE,CELSIUS,MASTERS,LATITUDE,HONORARY|Degrees
SPORTS,LUXURY,HYBRID,RACE,MUSCLE,ELECTRIC,RENTAL,SOLAR|... car
PLATONIC,FREE,TRUE,PUPPY,ROMANTIC,TOUGH|Types of love
CALL,PHONE,QUESTION,QUERY,SURVEY,PLEA|Things you answer
ATTITUDE,PACE,MIND,WEATHER,SEASONS,HEART,CLOTHES,SCENERY|A change of ...
PRESSURE,PLASMA,NEGATIVE,CELLS,POSITIVE,VESSEL|About blood
PACIFIER,ROCKING,STORY,CUDDLE,LULLABY|Put baby to sleep
CROWD,TICKET,SPORT,TEAM,ARENA,SEAT,FOOTBALL,OLYMPICS|Stadium
VACCINE,CURE,CHECKUP,MEDICINE,ADVICE,XRAY|A doctor gives you ...
GODLY,DIVINE,FAITHFUL,DEVOUT,ANGELIC,REVERENT|Holy
WATCH,TATTOO,FUR,IDENTITY,JEWELRY,NAILS,SMILE,APOLOGY|Sometimes fake
BALLAD,CAROL,ANTHEM,ARIA,SERENADE,SYMPHONY,LULLABY,TUNE,JINGLE|What's that song?
SPEECH,CONCERT,WEDDING,PLAY,GAMESHOW|Applause occasion
LENS,WINDOW,AQUARIUM,VASE,BOTTLE|Made of glass
JOURNAL,MEMOIR,SECURE,PERSONAL,ENTRY,SECRET,LOG|Dear diary
COCONUT,ORGANIC,SOY,LOWFAT,SKIM,RICE,ALMOND,MOTHERS|Types of milk
CARPET,TOY,CABLE,STEP,SHOELACE|Be careful, don't trip!
SOCKET,POSTER,MIRROR,PAINTING,CALENDAR,CLOCK,SHELF|On the wall
MADRID,LONDON,VENICE,MUNICH,BERLIN,ATHENS,MILAN,PARIS,VIENNA,ROME|European cities
LATITUDE,COMPASS,STAR,MERIDIAN,POLE|Navigation
BARBECUE,KETCHUP,TARTAR,SOY,MUSTARD,CURRY,GRAVY|Sauce
CINEMA,MUSEUM,LIBRARY,AIRPLANE,OPERA|Turn off the phones please!
VARIANCE,RATIO,GRAPH,MEDIAN,MEAN|Statistics
STOOL,BARMAN,JUKEBOX,BOTTLE,BEVERAGE,PEANUTS|At the bar
ALARM,DAYBREAK,WAKEUP,DAWN,SUNRISE|Morning
HORN,CORNET,TROMBONE,TRUMPET,TUBA,BUGLE|Brass Instruments
CANDLE,TEAPOT,PLANT,LINEN,FLOWERS,TOASTER,DISHES|Housewarming gifts
JEALOUSY,GOSSIP,RIVALRY,ROMANCE,NEPOTISM,BULLYING,FLATTERY|Office politics
BICYCLE,ELEVATOR,DOORBELL,TRAM,CALLBELL|Ding!
CUPS,CASH,PANCAKES,HAY,CHAIRS,CARDS,BRICKS|Stacked
RUDDER,MAINSAIL,KEEL,MAST,PORT|Set sail!
MOON,HOUSE,MONTY,CIRCLE,NAME,STOP,SPEED,GROWN,SWING|Full ...
VIRUS,NUTELLA,GOSSIP,DISEASE,JAM,HONEY,BUTTER,RUMOR|Can be spread
BRAVE,VALIANT,GALLANT,NOBLE,GUTSY,CHAMPION,WARRIOR|Heroic
JUDGE,BOSS,POLICE,COACH,REFEREE,PARENT,TEACHER|Respect my authority
FUTURE,DREAMS,LIFELINE,STARSIGN,PALM,TAROT,GYPSY|Fortune teller
TORNADO,TYPHOON,THUNDER,CYCLONE,BLIZZARD|Storm
MAKEUP,MANICURE,PEDICURE,MASSAGE,STYLING|Beauty salon
WINDMILL,CLOCK,FAN,EARTH,CAROUSEL,DANCER|Round & round
TEACH,PROTECT,SUPPORT,LOVE,INSPIRE,PLAY,LISTEN,MOTIVATE|Dads do it
TEACH,SCHOOL,STUDY,LEARN,TRAINING,LITERACY,GUIDANCE|Education
FIT,CLAIM,GRAM,NOUN,ACTIVE,PORTION,FOUND,VISION,CURE|Pro...
WEED,SICKNESS,LION,CUCUMBER,HORSE,BREEZE,LEGS|Sea ...
BOARD,PIECE,SQUARE,JUMP,DIAGONAL,OPPONENT,DRAUGHTS|Checkers (game)
CEMENT,CONCRETE,MASONRY,PAINT,PLAN,BRICK,BEAM,LUMBER,JOIST,SHINGLE|Build a house
KEYS,WALLET,PHONE,BIRTHDAY,UMBRELLA|Don't forget these!
SUPERIOR,WINNER,VICTOR,CHAMPION,FIRST,GREATEST|The best
TENOR,SOPRANO,BASS,ALTO,MEZZO,BARITONE|Vocal ranges
FORCES,AGENT,OFFER,OCCASION,DELIVERY,CASE|Special ...
MUSIC,RITUAL,RELIGION,FASHION,CUSTOM,DANCE,CUISINE,LANGUAGE|Culture
HONEST,TRUE,RELIABLE,DEVOTED,FAITHFUL|Loyal
BOXER,SKIER,SURGEON,MIME,CORONER,GARDENER|Wears gloves
DANCER,COMEDIAN,ACTOR,MUSICIAN,SINGER,SPEAKER|People on stage
WHEEL,YOYO,RECORD,PIZZA,PLATE,LENS,DIAL,DONUT,COIN,COMPASS|Circular
LASER,RAZOR,SHAVE,WAX,CREAM,PLUCK,TWEEZERS|Hair removal
TREASURE,CAPTAIN,SHIP,MUTINY,OUTCAST|Pirate
CASTLE,MANSION,TOWER,PYRAMID,DOME,SPIRE,HIGHRISE|Types of building
DICTATOR,EMPEROR,BOSS,CHIEF,CAPTAIN,MANAGER,MASTER,RULER,MONARCH,OVERLORD|Take me to your leader
VACCINE,PISTOL,CANNON,RIFLE,COFFEE,ARROW,ALCOHOL|Shot
ZIPPER,SEWING,FABRIC,CUT,NECKLINE,SCISSORS,NEEDLE|Making a dress
MIDDLE,MASTER,SECOND,FIRST,WORKING,WORLD,UPPER|... class
TOMORROW,NOW,NEVER,LATER,SOON,WHENEVER,TODAY,TONIGHT|When?
DAPHNE,LILY,HEATHER,ROSE,JASMINE,IRIS,DAISY,POPPY|Flower girls
TINDER,TIGER,TOASTER,TEENAGER,TUTOR,THUNDER,TAR,TERROR|T...R
AIRPORT,TAKEOFF,LANDING,TRAVEL,GATE,PILOT,DELAY,JETLAG,PASSPORT,TICKET,BOOKING|Overseas flight
PAKI,AFGHANI,KAZAKH,UZBEKI,TAJIKI,KYRGYZ|...stan (countries)
FRANCE,PARIS,TALL,MONUMENT,ELEVATOR,TOURIST,SOUVENIR|The Eiffel Tower
TROWEL,WRENCH,CROWBAR,LADDER,CHAINSAW,HAMMER,RATCHET|HardWare store
COFFEE,TIME,WATER,ROUND,POOL,KITCHEN,PERIODIC,END|... table
BUCKET,KETTLE,VASE,POOL,TEAPOT,DAM,LAKE,BOTTLE,BATH,BARREL|Holds water
ONION,TEARGAS,GRIEF,FUNERAL,WEDDING|Makes you cry
SYDNEY,DELHI,ISTANBUL,LONDON,PARIS,TOKYO,BERLIN,MOSCOW,RIO|Metropolis
FLIGHT,LOTTERY,THEATRE,CONCERT,STADIUM,SUBWAY,CINEMA,CIRCUS|Ticket required
PULITZER,NOBEL,OSCAR,EMMY,GRAMMY,TONY|Awards
SURPRISE,JAPAN,AIRPLANE,ATTACK,FLEET,PACIFIC,WAR,TRAGEDY,MEMORIAL|Pearl Harbor
PREDATOR,CONAN,COMMANDO,TWINS,ERASER,JUNIOR|Arnold Schwarzenegger
SNEAKERS,SOCKS,SLIPPERS,CLOGS,SKATES,BOOTS,SANDALS|On your feet
TESLA,LINCOLN,DODGE,CADILLAC,PONTIAC,HUMMER,JEEP,BUICK,FORD|American cars
FILM,LIGHTING,CINEMA,MOVIE,SCENE,SCRIPT,CAST,DIRECTOR|Lights, camera, action!
BOREDOM,ANGER,SURPRISE,GRIEF,TERROR,SERENITY,DISGUST|Feelings
GAMES,GAMBLING,ALCOHOL,CAFFEINE,NICOTINE,SHOPPING|Addictions
DELIVERY,CHEESE,ITALY,SAUCE,TOMATO,YEAST,FLOUR,BOX,CRUST,ORDER|Pizza
TEXAS,COLORADO,KANSAS,FLORIDA,OREGON,HAWAII,ARIZONA|US states
SPEECH,STUDENT,CEREMONY,GOWN,DIPLOMA,CAP,HONOR,COLLEGE,STAGE|Graduation day
GAMBLING,WOOD,TOOTH,POTATO,COMPUTER,GOLF,SHOULDER|Chip
PRICE,HASH,DOG,PHONE,LUGGAGE,SKIN,NAME|... tag
VIPER,PYTHON,COBRA,ADDER,BOA,MAMBA|Snakes
TALENT,AGENDA,PASSAGE,TREASURE,SECRET,PASSWORD|Hidden things
FIREWOOD,BOOKS,MONEY,DISHES,PAPER|A stack of ...
EXAMINE,PEEK,PERUSE,BROWSE,PEER,GANDER,GLIMPSE,GLANCE|Have a look
QUESTION,PASS,ANSWER,TRUE,FAIL,FALSE,CHEAT|This is a test
MONTH,DAY,DECADE,MINUTE,HOUR,WEEK,SECOND,YEAR|Time unit
NEWYORK,HOUSTON,ATLANTA,PORTLAND,SEATTLE,CHICAGO,PHOENIX,DALLAS,DETROIT|Cities in the USA
BAIT,LINE,LURE,REEL,HOOK,NET,ROD,SINKER|Fishing
CHAPTER,COVER,AUTHOR,SPINE,TITLE,BINDING,PREFACE,FOREWORD|Book
PARROT,TREASURE,SHIP,PISTOL,HOOK,EYEPATCH,CAPTAIN,CANNON,BANDANA|Pirate
NIGERIA,ETHIOPIA,KENYA,ZIMBABWE,MOROCCO,EGYPT,LIBYA|African countries
PERFECT,FAILURE,CHAMPION,FIRST,DEFEATED,LOSER,INFERIOR,ULTIMATE,LAST|Best & worst
MIDWIFE,POSTMAN,MILKMAN,FLORIST,COURIER|People that deliver
DUET,SECOND,PAIR,COUPLE,DUPLEX,TWICE,DOUBLE,TWINS|Two
ENGLISH,FRENCH,DUTCH,ARABIC,GREEK,SWEDISH,RUSSIAN,ITALIAN,GERMAN,CHINESE|Languages
CRIB,CRADLE,BASSINET,COT,TODDLER|Baby beds
SMOOTH,FLUFFY,ROUGH,COARSE,STICKY,SPIKY,SHARP,RUBBERY|What's it feel like?
ACADEMY,COLLEGE,LIBRARY,MUSEUM,SCHOOL|Educational places
UTOPIA,PARADISE,NIRVANA,EDEN,HEAVEN|Perfect place
PRISM,PARALLEL,CONE,RADIUS,TRIANGLE,CIRCLE,AREA,ANGLE,DEGREE,DIAMETER|Geometry
HOUR,RIGHT,MINUTE,BEFORE,FREE,UPPER,BACK,SECOND,POKER|... hand
BOXERS,SLIP,PAJAMAS,EYEMASK,ONESIE,NOTHING,EARPLUGS|Worn in bed
TOWER,SIGNAL,ROTATION,SAFETY,LENS,LAMP,BEACON,COAST,LANDMARK|Lighthouse
SERENE,CALM,PLACID,SILENT,SEDATE,TRANQUIL,PEACEFUL|It's quiet
SMASH,BANG,CRASH,BOOM,ROAR,NOISY,RACKET,BLARING|It's so loud!
RESIST,ALLOW,PERFORM,ACCEPT,IMPORT,GOVERN,DISTURB,INHERIT|...ance
